epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,36875,1.59856,1.88679,1.57263,0.37262,0.30884,0.28636,0.14665,1.59054,1.79734,1.63304,0.007624,0.007624,0.007624
74,37379.7,1.60694,1.88063,1.57636,0.36589,0.30699,0.28538,0.14674,1.58903,1.79506,1.63024,0.007591,0.007591,0.007591
75,37884,1.59993,1.89131,1.58189,0.37134,0.3033,0.28639,0.14732,1.58747,1.79227,1.62968,0.007558,0.007558,0.007558
76,38388.1,1.60386,1.89081,1.58423,0.37202,0.3013,0.2877,0.14828,1.58751,1.78867,1.63007,0.007525,0.007525,0.007525
77,38893.7,1.60019,1.89307,1.57288,0.37337,0.30266,0.29024,0.14948,1.58667,1.78874,1.62849,0.007492,0.007492,0.007492
78,39398.8,1.60178,1.88185,1.5777,0.36692,0.30076,0.28937,0.14831,1.58409,1.78942,1.6269,0.007459,0.007459,0.007459
79,39902.5,1.59865,1.86767,1.57402,0.37328,0.30808,0.29218,0.14955,1.58357,1.7878,1.62507,0.007426,0.007426,0.007426
80,40407.8,1.59156,1.87628,1.56998,0.37164,0.30809,0.29524,0.15063,1.58244,1.78654,1.6239,0.007393,0.007393,0.007393
81,40913.4,1.60017,1.8778,1.57774,0.37649,0.29786,0.29046,0.14922,1.58206,1.78381,1.62472,0.00736,0.00736,0.00736
82,41417.2,1.5915,1.86493,1.56895,0.37138,0.30279,0.29378,0.15167,1.58116,1.78002,1.62359,0.007327,0.007327,0.007327
83,41922.3,1.58762,1.86292,1.56602,0.37782,0.30349,0.2951,0.15219,1.58243,1.77967,1.62399,0.007294,0.007294,0.007294
84,42427.9,1.6059,1.90296,1.58374,0.38555,0.30047,0.29489,0.15241,1.58175,1.77737,1.62395,0.007261,0.007261,0.007261
85,42933.7,1.59298,1.87338,1.56528,0.38113,0.30274,0.29287,0.15157,1.581,1.7745,1.62321,0.007228,0.007228,0.007228
86,43437.8,1.58757,1.86995,1.57521,0.37919,0.30177,0.29289,0.15108,1.58148,1.77606,1.62212,0.007195,0.007195,0.007195
87,43941.8,1.59308,1.87325,1.5751,0.37949,0.29884,0.29211,0.15076,1.58053,1.77379,1.62104,0.007162,0.007162,0.007162
88,44446.3,1.60351,1.89128,1.58196,0.38149,0.2963,0.29056,0.14999,1.58246,1.77426,1.62229,0.007129,0.007129,0.007129
89,44950.5,1.59409,1.85597,1.5693,0.38385,0.29684,0.29107,0.14935,1.58221,1.77299,1.62018,0.007096,0.007096,0.007096
90,45454.6,1.58502,1.85343,1.56683,0.39374,0.2993,0.2917,0.14925,1.58313,1.77646,1.62158,0.007063,0.007063,0.007063
91,45958.8,1.58259,1.85675,1.56536,0.39778,0.30048,0.29222,0.14937,1.58334,1.77773,1.6211,0.00703,0.00703,0.00703
92,46463.7,1.58243,1.84359,1.56382,0.39892,0.30252,0.29182,0.14955,1.58153,1.77227,1.61898,0.006997,0.006997,0.006997
93,46968,1.59258,1.85325,1.56935,0.39732,0.3035,0.29235,0.15004,1.57988,1.77017,1.61835,0.006964,0.006964,0.006964
94,47471.9,1.58627,1.8569,1.55826,0.39177,0.30042,0.29453,0.15091,1.58069,1.76862,1.617,0.006931,0.006931,0.006931
95,47976.6,1.57996,1.84521,1.56078,0.39078,0.30451,0.29398,0.15148,1.57914,1.76759,1.6161,0.006898,0.006898,0.006898
96,48480.7,1.58555,1.84706,1.56479,0.38667,0.30524,0.29624,0.15212,1.57839,1.76691,1.61535,0.006865,0.006865,0.006865
97,48985,1.58123,1.83458,1.56,0.3833,0.30873,0.2936,0.15122,1.57599,1.7647,1.61431,0.006832,0.006832,0.006832
98,49489.2,1.5837,1.85085,1.55729,0.38179,0.31205,0.29632,0.15171,1.57567,1.76326,1.6136,0.006799,0.006799,0.006799
99,49993.9,1.58238,1.88045,1.55143,0.37411,0.31212,0.29488,0.15133,1.57519,1.76384,1.61298,0.006766,0.006766,0.006766
100,50498.4,1.57737,1.83233,1.55215,0.36798,0.30783,0.29501,0.15027,1.57495,1.7652,1.61182,0.006733,0.006733,0.006733
101,51002.2,1.58168,1.82843,1.55718,0.36798,0.30373,0.29312,0.15014,1.57508,1.76417,1.61197,0.0067,0.0067,0.0067
102,51506.2,1.56707,1.82356,1.55908,0.36697,0.30364,0.29518,0.15006,1.57527,1.76365,1.6126,0.006667,0.006667,0.006667
103,52010.4,1.58036,1.82731,1.55089,0.36952,0.30268,0.29655,0.15086,1.57533,1.76641,1.61267,0.006634,0.006634,0.006634
104,52514.5,1.58149,1.83962,1.55992,0.38094,0.30637,0.299,0.1517,1.57596,1.76666,1.61265,0.006601,0.006601,0.006601
105,53018.7,1.57411,1.80904,1.55041,0.38226,0.30829,0.29892,0.15295,1.57493,1.76351,1.61121,0.006568,0.006568,0.006568
106,53524,1.5758,1.82495,1.54684,0.38563,0.31271,0.30186,0.15405,1.57427,1.76078,1.61032,0.006535,0.006535,0.006535
107,54029.5,1.56887,1.8139,1.5595,0.38012,0.31835,0.30321,0.15502,1.574,1.7598,1.6092,0.006502,0.006502,0.006502
108,54534.6,1.57123,1.83846,1.55663,0.38168,0.31741,0.30244,0.15405,1.57292,1.76168,1.60801,0.006469,0.006469,0.006469
109,55038.7,1.56819,1.81234,1.53627,0.37219,0.32764,0.30187,0.15391,1.57288,1.75827,1.60501,0.006436,0.006436,0.006436
110,55543.2,1.58885,1.83132,1.55348,0.37782,0.32612,0.30208,0.15488,1.5736,1.75603,1.60473,0.006403,0.006403,0.006403
111,56047.5,1.5619,1.81519,1.5451,0.38473,0.32479,0.30263,0.15503,1.5703,1.7565,1.60267,0.00637,0.00637,0.00637
112,56553,1.57155,1.8183,1.55082,0.39265,0.31797,0.30245,0.15522,1.57016,1.75394,1.60092,0.006337,0.006337,0.006337
113,57058.4,1.56429,1.79606,1.54623,0.39746,0.31779,0.30467,0.15598,1.56979,1.75631,1.60052,0.006304,0.006304,0.006304
114,57564,1.5727,1.82038,1.54725,0.40149,0.31782,0.30438,0.1555,1.56927,1.75559,1.59936,0.006271,0.006271,0.006271
115,58068.1,1.5661,1.79905,1.54344,0.40795,0.31361,0.30588,0.15701,1.56819,1.7561,1.59813,0.006238,0.006238,0.006238
116,58573.5,1.56927,1.81799,1.54719,0.40196,0.31556,0.3055,0.1569,1.56835,1.75351,1.59811,0.006205,0.006205,0.006205
117,59078.2,1.57368,1.80548,1.54709,0.40454,0.31301,0.3046,0.15697,1.56779,1.75272,1.59776,0.006172,0.006172,0.006172
118,59582.8,1.56916,1.81128,1.54625,0.4068,0.31472,0.30646,0.15721,1.5678,1.7484,1.59703,0.006139,0.006139,0.006139
119,60088.4,1.56238,1.80278,1.54095,0.41764,0.31652,0.31094,0.15991,1.56857,1.74975,1.59644,0.006106,0.006106,0.006106
120,60594,1.56603,1.78997,1.54134,0.42004,0.31206,0.31182,0.15943,1.56948,1.74958,1.59644,0.006073,0.006073,0.006073
121,61098.5,1.56248,1.78624,1.54837,0.42004,0.30951,0.30916,0.15909,1.5727,1.74932,1.59893,0.00604,0.00604,0.00604
122,61602.3,1.55502,1.78658,1.5421,0.43078,0.30711,0.31157,0.15851,1.57241,1.74911,1.59922,0.006007,0.006007,0.006007
123,62106.4,1.56573,1.80416,1.54142,0.42761,0.31066,0.31259,0.15914,1.57292,1.74676,1.60069,0.005974,0.005974,0.005974
124,62610.5,1.56118,1.79462,1.53859,0.43793,0.30626,0.31373,0.15959,1.57182,1.74779,1.5995,0.005941,0.005941,0.005941
125,63114.9,1.55853,1.7885,1.52757,0.43447,0.30336,0.31277,0.15956,1.57216,1.74546,1.59853,0.005908,0.005908,0.005908
126,63619,1.55485,1.7729,1.52883,0.43196,0.30116,0.3127,0.1599,1.57075,1.74542,1.59683,0.005875,0.005875,0.005875
127,64123.3,1.54838,1.7762,1.52566,0.42015,0.30208,0.31113,0.15861,1.57209,1.74316,1.59661,0.005842,0.005842,0.005842
128,64627.9,1.54618,1.7619,1.5271,0.40062,0.31082,0.30928,0.15816,1.57204,1.74249,1.59574,0.005809,0.005809,0.005809
129,65132.2,1.55839,1.77964,1.5271,0.40004,0.30608,0.31077,0.15891,1.57227,1.74251,1.59637,0.005776,0.005776,0.005776
